trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
P22oLCK,100,17.9,23.7,7,0.06,0.319,needs_followup,0.8202175959083536
6HJ1A21,100,20.1,26.3,6,0.08,0.036,needs_followup,0.8195416016016996
P22p4vP,100,21.2,21.9,5,0.11,0.38,needs_followup,0.8181536553728654
gb00854,98,18.6,24.8,16,0.1,0.018,needs_followup,0.8176932502737888
XAambXA,97,21.7,21.3,6,0.48,0.25,needs_followup,0.8167264853451229
6J11D21,98,18.4,24.7,6,0.2,0.014,needs_followup,0.816564245463376
P12oSL5,100,20.4,22.4,3,0.02,0.365,needs_followup,0.8165372018135891
P12payU,97,21.8,21.5,3,0.03,0.255,needs_followup,0.8156439765734564
Sar2910,98,19.9,29.1,20,0.25,0.374,needs_followup,0.8155568013078179
6HE2A22,100,18.8,20.7,6,0.15,0.458,needs_followup,0.8150063697933799
ST26H88,100,18.8,25.9,6,0.08,0.363,needs_followup,0.8149307409686253
CEQQ2A2,100,19.7,22.2,8,0.04,0.235,needs_followup,0.8147372793330511
P12orbb,99,21.7,22.1,5,0.15,0.259,needs_followup,0.8146180896080436
ST26H11,98,18.3,27.1,8,0.13,0.276,needs_followup,0.8144669470976625
S001621,100,20.6,21.7,8,1.89,0.831,tracked,0.8140816531365175
P22pOY9,100,21.2,26.1,3,0.02,0.395,needs_followup,0.8132033574136849
A11GMT0,100,18.4,22.3,4,0.04,0.244,needs_followup,0.8130436281468325
A11EQfd,100,19.0,26.0,4,0.04,0.338,needs_followup,0.8129209530349052
A11GrOw,96,18.0,27.7,21,0.32,0.211,needs_followup,0.8128773078955703
6J31C21,98,19.9,29.5,13,0.12,0.114,needs_followup,0.8125318177930956
CER1502,100,19.2,28.4,7,0.04,0.031,needs_followup,0.809801918064298
P22pL3V,100,20.1,23.9,2,0.01,0.152,needs_followup,0.8097427398131712
P22pZ6b,100,20.7,24.5,3,0.02,0.114,needs_followup,0.8096031221974972
C1FQHV5,100,21.6,27.0,3,0.01,0.436,needs_followup,0.8093217166912744
P22pBkx,100,21.2,21.4,3,0.02,0.323,needs_followup,0.8087926763265154
P12o4vT,96,20.2,20.2,14,0.56,0.024,needs_followup,0.808523779531961
gb00865,96,19.8,28.9,30,0.37,0.244,needs_followup,0.8065274210113528
ZTF10Fe,100,18.5,21.9,4,0.04,0.496,needs_followup,0.8064010276925068
6H84921,98,19.4,26.2,9,0.1,0.045,needs_followup,0.8060685720473738
ST26H77,100,19.5,24.4,4,0.02,0.336,needs_followup,0.8050022495628787
A11Flg1,100,17.9,24.1,4,0.02,1.387,needs_followup,0.8043046336629422
P12pErA,100,21.3,21.9,4,0.04,0.29,needs_followup,0.8034756967245449
SO000AX,98,18.5,28.1,26,0.15,0.034,needs_followup,0.8032949104276436
P12oZkF,100,21.0,23.0,6,0.11,0.205,needs_followup,0.8024931909569045
6H33A21,100,18.4,21.9,9,0.08,0.115,needs_followup,0.8022548164247703
P12pfyV,100,20.9,22.6,3,0.03,0.341,needs_followup,0.8014583870248585
P12oAYO,100,20.1,23.6,4,0.04,0.194,needs_followup,0.8003212567936272
P22p4xR,97,22.4,26.6,6,0.12,0.242,needs_followup,0.8001304696464802
A11FpMX,100,18.6,25.5,7,0.15,0.238,needs_followup,0.8000356566590003
ZTF10GD,100,17.9,27.4,4,0.03,0.547,needs_followup,0.7997490311109574
P22pZ6a,100,21.6,22.3,3,0.02,0.118,needs_followup,0.7994641413102356
P22orSD,98,21.7,22.2,5,0.11,0.861,needs_followup,0.7989711354744274
P22pROE,100,20.7,22.6,3,0.03,0.252,needs_followup,0.7985368898042344
6HF2521,98,19.9,22.5,6,0.08,0.051,needs_followup,0.7981413600452315
ST26H65,100,19.4,24.9,6,0.17,0.288,needs_followup,0.7981135460643761
P22pwrN,100,21.4,21.3,3,0.02,0.075,needs_followup,0.7968653223095503
P12oT8U,100,20.8,25.3,3,0.04,0.538,needs_followup,0.7961619652767097
SO000CW,100,19.2,27.6,3,0.05,0.811,needs_followup,0.7956694621867967
P22q67Q,100,21.7,24.7,10,0.86,0.336,needs_followup,0.7956438570829086
6HL3B21,100,19.3,23.7,10,0.1,0.483,needs_followup,0.7956203087906334
gb00863,98,18.2,25.2,29,0.33,0.067,needs_followup,0.7954078337797174
gb00862,98,19.9,27.2,16,0.25,0.201,needs_followup,0.7949704375967035
A11Evap,100,19.4,21.8,10,0.95,0.08,needs_followup,0.7949333980524684
P12pBeL,100,21.1,21.1,3,0.03,0.525,needs_followup,0.7944856785369774
P12pKW1,100,20.4,26.1,3,0.04,0.44,needs_followup,0.7933019504229876
6J12821,100,19.1,21.4,9,0.1,0.217,needs_followup,0.7900011473279069
P22oTaK,98,22.0,23.6,3,0.03,0.539,needs_followup,0.7897249419941762
P22pZb1,98,21.9,28.2,5,0.1,0.362,needs_followup,0.7896388458747376
Sar2905,100,19.6,25.8,19,0.33,0.081,needs_followup,0.7894022551784713
CERUXQ2,98,20.7,27.9,13,0.1,0.103,needs_followup,0.7893779037253974
P22qfMQ,100,20.6,24.6,3,0.04,0.43,needs_followup,0.7887184347126448
ST26H58,100,19.3,22.0,4,0.01,0.842,needs_followup,0.7881487656118618
Sar2914,96,20.4,26.9,20,0.34,0.266,needs_followup,0.7868028511621664
A11GnTh,98,19.4,25.3,11,0.2,0.055,needs_followup,0.7864627546604789
P12payP,100,21.2,23.7,3,0.03,0.271,needs_followup,0.7863068823846339
ST26G96,100,18.9,25.7,6,0.05,0.052,needs_followup,0.7847619228603897
P22pRg9,100,20.5,22.5,3,0.03,0.047,needs_followup,0.7845998228946416
Sar2901,100,20.7,26.0,2,0.0,0.946,needs_followup,0.7833060841422074
P22pkWL,100,20.8,23.4,3,0.01,0.466,needs_followup,0.7829739793896134
P22pWJy,98,18.7,30.0,5,0.12,0.279,needs_followup,0.7826493694113612
P22pZ20,100,21.2,22.1,3,0.07,0.288,needs_followup,0.7821194239323099
CEQHXE2,89,20.4,22.0,36,0.98,0.453,needs_followup,0.7817496979513028
gb00858,100,18.4,27.9,9,0.03,0.039,needs_followup,0.7815764642174994
ST26G69,100,18.8,23.5,5,0.04,0.352,needs_followup,0.7811074807116851
C1FR9R5,100,20.8,25.3,4,0.01,0.411,needs_followup,0.7810962187411812
ST26G82,100,19.3,24.5,4,0.02,0.098,needs_followup,0.7805632443716719
MZ26289,100,18.8,22.8,3,0.01,1.03,needs_followup,0.7797434107070643
P22pB5T,99,21.6,23.1,4,0.04,0.376,needs_followup,0.7797030162001304
6HL3721,100,19.1,25.3,14,0.13,0.537,needs_followup,0.7786034227206815
A11FpMW,100,19.5,25.5,4,0.02,0.378,needs_followup,0.776304518232998
P12q6iW,100,20.9,21.8,4,0.04,1.055,needs_followup,0.7762235118124156
C1GA2Q5,100,21.3,24.4,4,0.02,0.037,needs_followup,0.77538459716451
6J24B21,95,20.1,21.3,10,0.19,0.069,needs_followup,0.773193000682026
P22pwAZ,100,21.2,24.4,3,0.02,0.388,needs_followup,0.7728513931729021
C46JLU1,98,18.4,26.7,17,0.17,0.042,needs_followup,0.7719074411789928
P12qkza,100,19.6,24.4,3,0.03,1.012,needs_followup,0.7713701418784498
