trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
C46HTM1,100,19.1,25.4,3,0.01,0.109,needs_followup,0.18806842908073904
SO000Bx,100,24.7,25.7,10,0.04,1.983,needs_followup,0.1880604810593938
LA0Cq3N,100,28.2,31.8,4,0.14,2.4,needs_followup,0.18785816089722165
P12ooQS,74,21.8,20.8,14,23.11,0.233,tracked,0.186971811699457
A11Gf3w,100,18.0,19.4,4,0.02,0.526,needs_followup,0.18596831835144867
ZTF10Ev,100,21.2,27.7,4,0.0,0.928,needs_followup,0.18506888624665588
P22qftl,98,21.7,22.1,4,0.03,1.357,needs_followup,0.18506459685892473
ST26H32,100,18.1,25.3,4,0.03,0.502,needs_followup,0.18506042178475207
ZTF10G3,100,34.3,30.7,4,0.0,2.04,needs_followup,0.18488028956654418
P22pLgJ,100,18.3,27.7,3,0.02,1.0,needs_followup,0.18443035894861912
ST26H27,100,18.8,26.0,2,0.0,0.487,needs_followup,0.1837495016199741
P12oZh1,89,22.2,21.6,5,0.14,0.209,needs_followup,0.1822011537921511
P12paqV,100,20.3,24.9,3,0.02,0.392,needs_followup,0.18203576603062507
TF26H65,100,18.5,25.2,2,0.0,0.281,needs_followup,0.181077672168219
Roc4012,100,18.8,20.6,3,0.0,0.755,needs_followup,0.18043409778983774
ZTF10Fc,100,17.8,20.7,4,0.06,0.353,needs_followup,0.1789919607852653
P12qbq7,71,21.6,22.9,4,0.02,0.106,needs_followup,0.17877219536455974
ST26H78,100,19.3,24.9,4,0.02,0.311,needs_followup,0.17846594408197572
P12paCn,100,21.5,20.7,4,0.04,0.204,needs_followup,0.1783071408292206
ST26H33,100,19.9,26.3,4,0.04,0.476,needs_followup,0.17789106614444303
SK000aq,94,12.9,13.2,3,0.04,0.55,needs_followup,0.17781287362517875
ZTF10FS,100,18.2,26.9,4,0.03,0.504,needs_followup,0.17646764371474546
ABC0185,88,20.0,17.9,3,0.01,0.417,needs_followup,0.17642101364184223
P12pfyU,100,20.4,23.3,3,0.02,0.343,needs_followup,0.17620763519480345
6H83E21,91,20.2,21.0,3,0.01,0.035,needs_followup,0.17480485813478336
P12oW4k,100,20.9,21.0,4,0.02,0.166,needs_followup,0.17434810121658004
LA0Cr6l,100,28.6,33.3,3,0.15,5.147,going_stale,0.1740851612280038
CERUMF2,100,19.5,25.6,4,0.02,0.124,needs_followup,0.17377372825573023
ST26H92,100,19.2,26.1,4,0.02,0.427,needs_followup,0.17373518910072078
ST26G92,100,19.6,25.5,4,0.01,0.326,needs_followup,0.17368211037618003
P12o4vO,100,25.1,26.0,3,0.01,2.347,needs_followup,0.17234239594738138
ST26H83,100,19.8,24.8,4,0.03,0.377,needs_followup,0.17196460569264635
P22q6aD,100,21.9,19.3,11,1.9,0.319,tracked,0.17186324351565252
A11EXKr,100,19.0,16.2,4,0.02,0.23,needs_followup,0.17003839632380038
ST26H84,98,19.9,27.0,6,0.09,0.305,needs_followup,0.1698924647479872
A11Fnb5,100,18.0,31.0,5,0.07,0.324,needs_followup,0.16901627887981982
P12oVRt,76,21.6,23.7,3,0.02,0.38,needs_followup,0.1689169167239451
LA0Cq3L,100,25.0,31.5,4,0.11,3.524,going_stale,0.16795385884852093
ST26H66,100,18.5,25.1,4,0.02,1.037,needs_followup,0.16746286498017288
ST26G26,100,19.4,26.8,4,0.01,0.492,needs_followup,0.16686553585964928
P12onSk,87,21.3,20.8,6,1.06,0.259,tracked,0.16622487085097465
P12o0YY,99,21.0,18.4,6,0.08,1.416,needs_followup,0.16599072881105434
P22qbpW,95,21.8,19.5,4,0.03,0.148,needs_followup,0.1638792446916499
A11F769,100,18.8,25.8,4,0.05,0.622,needs_followup,0.1634304259184116
SK000ax,93,13.0,12.8,3,0.06,0.53,needs_followup,0.1631625039882756
SK000av,93,12.9,12.6,3,0.06,0.53,needs_followup,0.1631625039882756
ST26G18,100,19.9,25.7,4,0.02,0.628,needs_followup,0.16245282237713224
ZTF10F4,100,17.9,21.4,4,0.04,0.377,needs_followup,0.16205899449477765
ST26H13,100,19.1,25.5,4,0.02,0.347,needs_followup,0.16135886907909558
ST26H89,100,25.8,28.5,4,0.01,0.332,needs_followup,0.1608553880170271
ST26G90,100,20.0,24.8,2,0.0,0.028,needs_followup,0.16054962820467206
A11EXKe,100,19.6,22.1,4,0.03,1.239,needs_followup,0.16013199344913767
LA0CeOu,100,25.4,27.5,4,0.16,2.962,needs_followup,0.1597617340781615
ST26H19,100,18.1,25.1,4,0.02,0.37,needs_followup,0.1590719859182649
P22papf,95,21.9,20.5,3,0.03,0.436,needs_followup,0.15829325682137488
P12oAYQ,94,21.5,21.4,4,0.04,0.192,needs_followup,0.1581061949014527
MQM9799,60,21.6,19.7,6,6.04,0.876,tracked,0.15714570296309077
P12os9C,90,21.1,20.8,8,0.16,0.7,needs_followup,0.1566964494552548
ZTF10FE,100,18.3,26.8,4,0.02,0.479,needs_followup,0.15660256215080992
ZTF10FD,100,18.5,26.6,4,0.03,0.707,needs_followup,0.1564141794895848
ZTF10F7,100,18.0,26.1,4,0.04,0.44,needs_followup,0.15581316969702397
A11FgaQ,100,17.0,23.4,5,0.02,0.878,needs_followup,0.15512926774725536
ST26G91,100,19.8,25.3,4,0.02,0.313,needs_followup,0.15500403012653227
ST26H57,100,20.5,27.6,4,0.02,0.853,needs_followup,0.1549530257008246
S06001,100,19.9,22.4,3,0.02,2.717,needs_followup,0.15492685627800906
ZTF10Fv,100,19.5,26.7,4,0.03,1.119,needs_followup,0.15442509381768482
P12pBc1,98,21.4,20.2,4,0.02,0.164,needs_followup,0.154332716743287
P12omkc,71,21.0,20.6,7,2.02,0.388,tracked,0.15341948471356626
jdq0079,99,20.7,20.1,3,0.01,0.556,needs_followup,0.15175575744808328
ZTF10Fp,100,16.5,26.7,4,0.03,0.49,needs_followup,0.1515012326525327
ZTF10Fn,100,18.2,24.0,4,0.06,0.944,needs_followup,0.15112898938651018
ZTF10G9,100,19.1,26.8,4,0.02,1.085,needs_followup,0.1489496293028525
P22oVOy,70,21.9,21.3,5,0.13,0.281,needs_followup,0.14861871082244127
ST26H41,100,19.2,24.8,4,0.02,0.331,needs_followup,0.1455183928593195
P22osbK,100,20.1,13.0,6,0.22,0.567,needs_followup,0.14464781642401237
ZTF10Er,100,17.5,26.6,4,0.04,0.446,needs_followup,0.14463102769714542
ST26H50,100,19.6,24.2,4,0.02,0.792,needs_followup,0.14398032280943757
ZTF10FV,100,18.2,27.4,4,0.01,0.497,needs_followup,0.14320962699837883
ST26G93,100,19.7,26.1,4,0.02,0.365,needs_followup,0.1423799835917172
A11FvJs,97,19.5,19.7,9,0.22,0.142,needs_followup,0.14171798054042847
C1LT2DP,100,21.2,18.1,4,0.02,10.276,going_stale,0.14106747793491972
C1GCNJ5,84,21.6,24.1,3,0.01,0.297,needs_followup,0.14071658444736215
ZTF10Fo,100,17.4,27.8,4,0.06,0.491,needs_followup,0.1394022168326456
A11Flgg,100,33.8,28.5,4,0.04,0.343,needs_followup,0.13920125881941242
P12p4IX,100,21.1,21.3,4,0.03,0.185,needs_followup,0.13831774926517762
P12qbyT,99,20.6,20.0,4,0.03,0.365,needs_followup,0.13827658101876053
P12pRQl,100,20.7,20.3,4,0.03,0.227,needs_followup,0.13685797310589046
ZTF10F3,100,19.1,27.6,4,0.01,0.349,needs_followup,0.13616982005591421
P12qftA,89,21.3,21.0,3,0.02,0.369,needs_followup,0.13610739649249862
A11Gjji,100,19.3,28.9,3,0.01,0.418,needs_followup,0.13604697243365504
ZTF10Fj,100,16.7,26.6,4,0.01,0.471,needs_followup,0.13496714850330796
TF26HC9,100,19.6,24.2,2,0.0,0.549,needs_followup,0.13444835109053324
P12pkQG,100,21.4,19.6,3,0.02,0.191,needs_followup,0.13420246668880081
ZTF10FX,100,17.2,27.3,4,0.02,0.439,needs_followup,0.13302711351767763
ZTF10Ep,100,20.8,26.9,4,0.04,1.446,needs_followup,0.13168058867747653
P22oDk3,87,22.2,19.1,4,0.04,0.242,needs_followup,0.1311204053073832
ZTF10Fr,100,20.5,28.2,4,0.04,1.045,needs_followup,0.13102419226056372
P22pBcy,80,21.5,18.7,4,0.03,0.438,needs_followup,0.12977208596910564
P22p4ww,72,20.1,22.2,11,4.84,0.372,tracked,0.12946647338122275
ST26H75,100,20.5,27.5,4,0.02,0.351,needs_followup,0.1288019215746478
A11FPxB,100,19.1,15.5,4,0.02,0.536,needs_followup,0.12759225216027528
A11EQsq,100,21.1,28.3,4,0.02,1.447,needs_followup,0.12657595778629513
ZTF10Fx,100,19.9,27.9,4,0.02,1.109,needs_followup,0.1255348979922841
A11GkXJ,100,18.0,19.3,4,0.02,0.422,needs_followup,0.1247138880317098
ST26H63,100,21.2,30.3,4,0.02,0.346,needs_followup,0.12466043660905289
ZTF10Fq,100,19.9,23.4,2,0.0,1.129,needs_followup,0.1244895543734471
P12pEuy,78,21.7,21.8,3,0.01,0.166,needs_followup,0.12394136479529305
ZTF10Fm,100,21.4,26.3,4,0.0,1.022,needs_followup,0.12341238977482198
ST26G17,100,20.0,26.3,2,0.0,0.671,needs_followup,0.1227180050423655
CERUX32,92,21.5,20.1,11,0.19,0.029,needs_followup,0.12250887288034869
P12pkRc,97,21.8,20.1,3,0.02,0.192,needs_followup,0.12239767075126125
SWAN26Q,61,10.9,10.9,14,26.34,6.718,going_stale,0.12223451444223662
ZTF10El,100,21.8,27.7,4,0.02,2.608,needs_followup,0.1217350301333661
ZTF10F5,100,21.0,27.0,4,0.0,1.501,needs_followup,0.12114411411219209
TR0006,100,17.3,18.5,3,0.01,4.518,going_stale,0.12113157496869016
CERV672,100,20.7,19.2,6,0.08,0.03,needs_followup,0.12018180500500089
orA4471,100,19.8,20.0,3,0.01,0.933,needs_followup,0.12004462228909152
A11Flg9,100,19.0,17.6,4,0.04,0.434,needs_followup,0.11996005837203742
P12patY,86,21.4,20.3,4,0.03,0.331,needs_followup,0.1198094666913452
TF26G47,100,19.8,24.5,2,0.0,0.085,needs_followup,0.11917948332833385
P22nL5u,58,21.7,17.9,9,4.87,7.288,going_stale,0.11910398747436268
P12pEtW,76,21.0,21.0,3,0.04,0.803,needs_followup,0.11873975905959694
ZTF10Fy,100,20.0,28.1,4,0.02,1.109,needs_followup,0.11852652500493688
P22nJzF,99,21.5,14.0,22,12.0,8.194,going_stale,0.1179897766744612
ZTF10En,100,27.8,29.8,2,0.0,2.544,needs_followup,0.11643892899614634
Roc4011,100,18.4,21.1,3,0.0,0.763,needs_followup,0.11637995621032432
ABC0149,100,20.6,17.2,3,0.01,2.693,needs_followup,0.11567855329645386
P22p4Jd,100,21.4,21.2,4,0.02,0.156,needs_followup,0.1142476732046839
SK000au,93,12.4,12.1,4,0.06,0.53,needs_followup,0.11347625494170074
P12qfLA,97,21.6,21.2,4,0.04,0.076,needs_followup,0.11313708828851149
SK000aw,86,12.5,-0.6,3,0.06,0.53,needs_followup,0.11307387796205726
P22pfCv,100,21.6,21.9,3,0.03,0.22,needs_followup,0.11269391952942942
TF26G22,100,19.6,25.3,2,0.0,0.655,needs_followup,0.11234794708709249
P12oVNR,100,22.1,18.0,3,0.04,0.464,needs_followup,0.11177732601732894
OCA1648,99,18.8,17.3,3,0.02,0.754,needs_followup,0.11164769052654276
C1GA4J5,95,21.6,19.6,4,0.02,0.407,needs_followup,0.11083379198336987
ST26G65,100,20.2,24.0,2,0.0,0.1,needs_followup,0.11048809997146129
P12pfnV,80,21.9,20.9,4,0.04,0.712,needs_followup,0.11022476201691857
P12p4sf,75,22.1,19.7,4,0.04,0.744,needs_followup,0.11010730638370474
P22oOfK,98,20.3,19.1,4,0.03,0.197,needs_followup,0.10953706931678119
P12qbq6,98,21.1,19.7,3,0.01,0.116,needs_followup,0.1087319972594364
P12pEvW,100,20.7,19.7,4,0.04,0.437,needs_followup,0.10815057923720953
P22pRQ8,94,21.7,19.8,3,0.03,0.25,needs_followup,0.10774449196584496
LA0D3nL,100,21.8,28.4,4,0.15,3.004,going_stale,0.10710073946822443
SK000at,83,12.5,0.4,4,0.06,0.53,needs_followup,0.10704770961113261
MAS0012,95,19.9,17.7,6,0.61,0.186,needs_followup,0.10690510228308085
TF26F96,100,18.7,15.6,2,0.0,9.362,going_stale,0.10557553016200293
P12pRQm,100,21.5,19.9,4,0.03,0.224,needs_followup,0.10550201786625785
P12osci,76,21.3,23.2,3,0.02,0.775,needs_followup,0.10536574732604143
P12oEGq,88,21.8,22.6,3,0.03,2.198,needs_followup,0.10422549379217386
P22p4wx,67,22.2,18.5,6,0.06,0.375,needs_followup,0.10415679031733042
OMO0297,89,22.1,20.2,8,4.31,4.609,going_stale,0.10412500894895399
C1FQCU5,81,21.0,22.3,3,0.01,0.457,needs_followup,0.10297212533213265
P22pEKL,85,21.2,19.4,5,0.12,0.26,needs_followup,0.10156794132829806
P12qbso,89,21.2,20.0,6,0.09,0.349,needs_followup,0.10122424906740586
ST26G68,100,17.3,17.0,2,0.0,0.427,needs_followup,0.1008303267643803
OP90566,100,22.0,16.9,3,0.1,0.927,needs_followup,0.10028670228992081
P22pay3,100,20.4,21.0,4,0.03,0.236,needs_followup,0.1001591766602707
MZ26288,100,20.0,16.3,3,0.01,1.08,needs_followup,0.09989288845180357
DTDS13b,100,19.4,17.9,3,0.04,3.509,going_stale,0.09946457360577196
DTDS13c,99,19.6,17.9,3,0.04,3.509,going_stale,0.09651720020525115
P12qftz,95,20.7,20.6,3,0.02,0.372,needs_followup,0.0961036215720534
C1LT29P,88,21.1,18.1,4,0.02,6.108,going_stale,0.09580173114408005
P22oG6r,89,21.6,21.0,6,0.07,0.223,needs_followup,0.09575983092395021
X90419,92,19.7,17.6,3,0.02,0.708,needs_followup,0.09451029449326624
P22oY70,89,21.3,18.3,4,0.04,0.418,needs_followup,0.09354334830009228
P12o4vF,100,21.9,19.4,7,1.01,1.392,tracked,0.0933681237203486
X89863,100,21.0,19.7,3,0.03,1.022,needs_followup,0.09320981049012939
P12oSH3,75,20.3,19.6,3,0.03,0.396,needs_followup,0.09238412572185498
P12qfOy,88,21.4,18.8,3,0.03,0.289,needs_followup,0.091961845217954
P12owRO,92,21.3,18.6,4,0.02,0.212,needs_followup,0.0901569211026316
ST26G77,100,16.8,14.6,2,0.0,0.998,needs_followup,0.08983789283025735
P22oLCM,71,21.3,19.1,4,0.04,0.33,needs_followup,0.08911407939743309
P12pb3b,100,19.8,12.7,4,0.04,0.193,needs_followup,0.08874273937848674
P22oZgZ,64,21.9,19.3,6,0.11,0.199,needs_followup,0.08739314695841907
P12oZmo,74,21.6,19.9,5,0.11,0.207,needs_followup,0.08684976600050918
P22pwwe,73,22.0,19.7,3,0.02,0.428,needs_followup,0.08578158636207867
TR6352,100,19.5,20.0,3,0.01,0.461,needs_followup,0.08481700814398656
P12pBc8,71,21.5,17.9,3,0.02,0.076,needs_followup,0.08414278200889903
P12pBgz,71,20.4,17.6,3,0.03,0.398,needs_followup,0.08363483719431694
P22pKXT,83,22.3,16.3,4,0.03,0.389,needs_followup,0.08327058503891334
Roc4008,100,17.3,19.7,3,0.0,0.751,needs_followup,0.08317570110643543
P12pBfG,66,21.6,19.5,3,0.02,0.455,needs_followup,0.08252613143740742
P22pZzW,68,22.7,14.5,3,0.04,0.345,needs_followup,0.08198327059321191
P12qfOo,84,21.9,16.3,3,0.04,0.371,needs_followup,0.07900235678136006
TF26G71,100,19.6,15.4,2,0.0,1.005,needs_followup,0.0789756854886622
orA4607,100,20.3,19.6,3,0.01,0.374,needs_followup,0.0789561799470377
ABC0164,100,20.2,17.1,3,0.01,0.988,needs_followup,0.07864416384515592
P22pfnu,100,21.3,20.8,3,0.02,1.286,needs_followup,0.07729870602531118
P12ooQQ,96,21.3,19.4,3,0.03,0.245,needs_followup,0.07529188618213109
P12qbdQ,83,21.9,19.2,3,0.04,1.059,needs_followup,0.07410375264125912
P22pL44,73,22.2,20.3,3,0.02,1.107,needs_followup,0.07398208723683322
P12pwxX,70,21.7,17.5,4,0.03,0.448,needs_followup,0.07395728383746449
P22pFdc,92,21.0,19.4,8,25.06,0.216,tracked,0.07346322335719196
ABC0199,98,20.2,20.1,4,0.01,0.866,needs_followup,0.07341497575479965
P22pZzV,71,22.1,15.8,4,0.04,0.347,needs_followup,0.07296233999244658
MAS0006,35,20.3,9.3,64,15.03,0.41,tracked,0.07277487020293924
P22pZoz,67,22.3,15.3,5,0.08,0.344,needs_followup,0.07196271607527385
P22orOo,98,21.2,20.3,14,4.14,0.849,tracked,0.07100344109931411
P12pB5R,82,21.3,19.4,3,0.02,0.351,needs_followup,0.07099634093733488
P12qbqC,95,21.2,20.5,4,0.02,0.077,needs_followup,0.0708469529594934
P22qfOA,95,21.2,17.6,3,0.03,0.247,needs_followup,0.07027496934176727
P22p4I7,98,21.1,18.5,6,0.11,0.151,needs_followup,0.07013291076308806
C1FPQP5,93,21.2,19.1,7,0.09,0.287,needs_followup,0.06939540076063085
XA9yiXA,10,20.0,19.0,46,459.97,0.61,tracked,0.06937283741560536
P22pKZB,78,21.7,19.5,4,0.04,0.259,needs_followup,0.06920549105036877
P22pZAF,81,22.3,16.8,4,0.03,0.287,needs_followup,0.06863168767606863
P12pBgy,73,21.5,20.2,4,0.03,0.394,needs_followup,0.06848262920565854
CEQYJM2,66,20.7,20.4,8,0.08,0.076,needs_followup,0.0683546045878259
RJT002,100,20.2,12.9,3,0.01,1.661,needs_followup,0.06818955925205197
P12pWTl,84,21.1,16.8,3,0.01,0.228,needs_followup,0.06792182860021545
P12pZns,83,22.2,17.8,6,0.13,0.334,needs_followup,0.06630036510887856
CERV332,69,21.8,18.1,9,0.1,0.033,needs_followup,0.06613372062157515
P22q6ca,68,21.8,19.7,14,0.9,0.205,needs_followup,0.06546652045227301
P22oDk4,100,22.0,20.4,3,0.04,0.247,needs_followup,0.0653877546140383
P12oAir,91,22.2,15.8,3,0.04,0.307,needs_followup,0.06521710397536377
P22nTLB,21,22.2,19.6,20,2.87,1.779,tracked,0.06472371936112929
P12oVRq,87,21.8,19.7,7,18.92,0.372,tracked,0.06405230300239118
gb00855,27,20.4,19.2,27,2.73,0.407,tracked,0.06395928051686692
OOn0024,100,21.2,18.5,3,0.07,2.506,needs_followup,0.06370371062124225
P22pkRP,66,21.8,18.6,3,0.02,0.192,needs_followup,0.06352663325026567
P12p4HJ,84,21.2,20.3,3,0.02,0.275,needs_followup,0.06330283113467042
P12qfMi,85,20.9,18.9,6,0.07,0.384,needs_followup,0.06313713224995089
P12o62f,99,20.6,18.1,3,0.02,0.354,needs_followup,0.06279731620505898
CEQXMN2,88,19.9,17.1,8,0.09,0.089,needs_followup,0.06224834222990439
A11GrOq,54,18.3,12.2,4,0.01,0.391,needs_followup,0.06207948353443839
P12o4wA,96,21.4,20.1,3,0.03,0.435,needs_followup,0.06203679324210615
P12pKZG,79,21.7,18.4,3,0.03,0.209,needs_followup,0.06113747687681162
P12qbdP,78,21.5,18.9,4,0.04,1.056,needs_followup,0.06085712948710059
P22oVOx,90,21.4,19.1,6,0.13,0.279,needs_followup,0.06069552062429351
P12pwAw,65,20.6,17.6,7,0.15,0.328,needs_followup,0.060610496651226246
P22pl08,89,21.3,17.4,4,0.03,0.332,needs_followup,0.05990862878358065
W023248,93,20.9,17.1,3,0.01,1.545,needs_followup,0.05966729480336045
A11EpSe,100,19.3,19.2,10,0.83,1.95,needs_followup,0.05892033501722315
PDO0150,77,20.7,20.3,3,0.02,0.532,needs_followup,0.05817815232269677
00001sS,100,17.9,14.8,3,0.04,1.101,needs_followup,0.05748416962822347
P22nTNT,10,21.0,19.0,24,2.71,1.786,tracked,0.057341951903802944
P12oAiD,73,21.6,18.2,4,0.04,0.304,needs_followup,0.05728704591930617
P12oO5R,76,21.6,20.4,6,0.17,0.26,needs_followup,0.05661136003380331
P22ppY2,75,21.6,17.3,4,0.03,0.368,needs_followup,0.056158208583659885
P12pl4n,83,21.7,20.1,3,0.01,0.181,needs_followup,0.054876457898349634
P22oZGo,100,20.9,18.9,8,0.04,0.172,needs_followup,0.05483564362025471
P22pRo5,41,21.1,19.9,9,7.1,0.285,tracked,0.05473299766924038
P12owRi,57,21.6,18.5,3,0.03,0.249,needs_followup,0.054698937302552646
STO1510,84,20.6,17.3,6,0.9,0.299,needs_followup,0.05439544757038748
P12oImJ,99,20.9,19.0,4,0.04,0.286,needs_followup,0.05366820320957069
P12pBjI,65,20.7,19.2,8,26.93,0.348,tracked,0.05355127667382016
P12qfMh,80,21.3,18.8,6,0.07,0.388,needs_followup,0.05313562446190316
P12pEJ8,79,19.7,16.5,4,0.03,0.334,needs_followup,0.052921751233282036
P12ooSp,78,21.8,19.8,3,0.03,0.252,needs_followup,0.05261508184816115
P12pEtX,72,21.1,18.4,6,21.03,0.794,tracked,0.051860203839045396
P22pfoj,78,21.3,15.6,4,0.04,0.432,needs_followup,0.0516627333113695
P12oDgI,15,21.7,20.4,3,0.02,0.198,needs_followup,0.05159934117326096
P12pwoz,90,20.9,18.1,3,0.02,0.155,needs_followup,0.051208452729616806
P12onNw,35,20.6,12.1,17,3.16,1.405,tracked,0.05105760508001805
P12o4vl,100,20.7,18.5,7,1.0,1.403,tracked,0.05088998879437575
X89848,77,19.7,15.4,3,0.03,2.04,needs_followup,0.05069356122474587
P22pata,86,21.5,19.3,3,0.02,0.352,needs_followup,0.05050506260737352
A11GrOJ,88,19.7,10.4,4,0.03,0.465,needs_followup,0.0502163574752795
P22oVWa,76,21.6,18.7,6,0.1,0.213,needs_followup,0.05008994550517632
P12orqU,66,21.3,18.7,3,0.06,0.249,needs_followup,0.04946451142190707
RMM2026,35,21.7,18.9,28,26.53,0.306,tracked,0.049283502133852485
X89940,64,20.6,18.2,6,0.28,0.234,needs_followup,0.049202856474309845
P12onSi,79,20.8,18.4,6,0.09,1.228,needs_followup,0.04908893492503085
P12owGI,10,21.3,20.2,7,0.15,0.254,needs_followup,0.04906538406026671
X90323,63,19.3,14.5,3,0.03,0.918,needs_followup,0.048777979930739485
P12pHOp,72,21.1,16.9,4,0.03,0.209,needs_followup,0.04875166392411117
P22patb,72,21.1,18.2,4,0.03,0.345,needs_followup,0.04855495617915164
Arms083,86,20.6,14.9,12,2.25,0.433,tracked,0.048525910738215806
P12pkRg,78,21.7,18.1,3,0.02,0.191,needs_followup,0.0482443638462861
P12oDgH,10,21.8,18.6,7,2.8,0.19,tracked,0.047969863285336374
Arms094,100,21.1,20.5,3,0.01,0.173,needs_followup,0.047525993437620644
6HJ4621,14,18.9,13.4,3,0.01,0.184,needs_followup,0.04746008284281104
C1FVG05,79,21.4,20.0,4,0.02,0.026,needs_followup,0.04739725703523785
MRV8005,69,20.8,20.1,4,6.09,0.593,tracked,0.046716647882504875
P22oZww,69,21.8,19.2,6,0.1,0.159,needs_followup,0.04670235153626249
P22oEGl,59,21.2,17.1,8,28.03,0.731,tracked,0.04633371021595216
P12pEFf,73,21.3,19.5,4,0.03,0.372,needs_followup,0.046193353262798546
P12qbpS,83,21.7,18.3,4,0.04,0.18,needs_followup,0.046191594621801106
P22p4Fq,76,21.6,19.0,5,0.07,0.23,needs_followup,0.046023983412319676
P12p4Jx,82,20.6,15.4,5,0.14,0.156,needs_followup,0.04602015928794906
P12pBl1,84,21.1,19.9,4,0.04,0.29,needs_followup,0.045945406534476166
P12ptHh,72,21.4,18.2,4,0.04,0.284,needs_followup,0.045899796016486846
P22ooQf,10,21.0,18.0,35,764.03,0.3,tracked,0.045510158208302474
A11GnTa,58,18.1,14.3,4,0.04,0.302,needs_followup,0.04546462771669385
P22paxQ,95,21.5,20.5,3,0.04,0.279,needs_followup,0.045031084818215404
P12pwoA,30,20.4,15.6,4,0.02,0.148,needs_followup,0.04491276528897757
P12qbq0,78,21.1,18.7,4,0.03,0.544,needs_followup,0.044879514382778436
P12qfqe,68,21.3,19.0,3,0.04,0.583,needs_followup,0.04442392911349815
E000011,14,15.7,17.5,2,0.0,0.4,needs_followup,0.04401958500131918
P12orqV,78,21.1,18.6,3,0.06,0.249,needs_followup,0.0438762991012875
P12oAYR,72,21.9,19.0,3,0.02,0.209,needs_followup,0.0435961543097783
P12pwxW,79,21.2,19.2,7,0.15,0.328,needs_followup,0.043590436765192773
P12pHLa,100,20.5,16.6,4,0.03,0.215,needs_followup,0.04350586499488934
P12pZCz,91,20.6,19.7,3,0.02,0.29,needs_followup,0.043189865400244956
P12onSj,100,20.9,18.9,6,0.08,1.23,needs_followup,0.04301971531643733
ST26G54,100,19.8,18.8,2,0.0,0.234,needs_followup,0.042830590724326094
P22oZfK,100,21.4,18.6,4,0.03,1.214,needs_followup,0.04271470792547787
P12pwHF,69,19.3,17.0,12,0.23,0.032,needs_followup,0.04208636879328507
P22p4Fp,76,21.6,20.1,6,0.08,0.226,needs_followup,0.04202037244850588
P22ppYR,76,21.0,17.1,4,0.03,0.322,needs_followup,0.04189151477814461
P12oAdd,66,20.7,18.4,3,0.02,0.323,needs_followup,0.04183305317351208
W023171,100,20.8,20.4,6,0.01,3.887,going_stale,0.041703476591177985
P12pkRh,80,21.2,17.2,4,0.02,0.19,needs_followup,0.0413398861880104
P12o4vm,47,20.6,19.0,14,2.13,1.396,tracked,0.04107667740667137
P12pErF,92,20.2,19.0,8,0.04,0.225,needs_followup,0.04068356245276328
P22oVTG,87,21.4,19.0,5,0.15,0.216,needs_followup,0.04068255746805977
P12pEuv,73,20.5,15.5,3,0.04,0.859,needs_followup,0.03997372195405613
P22pfoi,75,20.3,18.6,4,0.04,0.43,needs_followup,0.03993672965409061
P12owRP,68,21.4,17.9,3,0.02,0.211,needs_followup,0.039170097679594035
P12oAS5,84,21.3,18.1,4,0.04,0.223,needs_followup,0.03905015196032793
P22pL42,34,20.3,18.7,14,32.55,0.429,tracked,0.039000520953049254
P12qfMj,73,20.8,15.3,4,0.03,0.429,needs_followup,0.03897969136031087
P12pwrK,75,20.6,17.1,4,0.03,0.092,needs_followup,0.038791069739851844
P22owBy,73,21.3,17.9,3,0.02,0.803,needs_followup,0.03875944187826276
P22oVTI,79,21.7,19.1,5,0.14,0.219,needs_followup,0.038554665764010024
P22pEMP,83,20.3,18.0,4,0.04,3.298,going_stale,0.03801563889518444
P22pZcd,65,20.9,19.1,5,0.11,0.351,needs_followup,0.03800260902143662
P12oG7V,67,20.7,17.2,3,0.03,0.19,needs_followup,0.03779956363240312
P12pRQn,85,21.2,19.2,4,0.03,0.229,needs_followup,0.03755697529340814
Sar2913,69,19.9,15.9,3,0.07,0.349,needs_followup,0.03738052662245031
P12pZCy,81,20.7,19.7,4,0.04,0.298,needs_followup,0.036781078126090244
P22oVTH,88,21.1,19.2,4,0.03,0.336,needs_followup,0.03562694190854075
P12papj,85,20.4,15.3,4,0.02,0.501,needs_followup,0.03556129049756015
P12pl4l,76,21.4,18.8,4,0.02,0.18,needs_followup,0.035547868051284875
P12oW4o,55,21.5,18.9,11,0.89,0.281,needs_followup,0.03463059824371861
P12oAWX,58,21.0,20.1,5,15.94,0.302,tracked,0.034598155338705514
P22pWRV,70,20.9,18.9,4,0.03,0.216,needs_followup,0.029235146432991528
